name,desc,category,tags,tissue,assay,disease,organism,count,insight_link,cellxgene_link,vitessce_link,h5ad_object_link,h5mu_object_link,scvi_model_link,celltypist_model_link,csv_cell_annotations_link,hires_image_link,download,image_viewer,mp4,thumb,size
Yolk sac CITE-seq data (RNA),"A CITE-seq dataset containing RNA data for our yolk sac CITE-seq data (n=2, k=3,578, Carnegie stage 16-19). One half of the data has undergone CD34+ enrichment, and the other half has undergone CD34- enrichment via FACS. An additional number of cells (k=4,061) are present in the portal compared with the manuscript figures, since all post-QC RNA data are shown, rather than just those with intersect with protein component. Yolk sac CITE-seq data - E-MTAB-11549",CITE-seq,,Yolk Sac,CITE-seq,None,Homo sapiens,3578,https://app.cellatlas.io/yolk-sac/dataset/7/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/7/download,,https://storage.googleapis.com/haniffalab/yolk-sac/scvi_models/ys_only_vae_model.pt,,,,,,,,
Liver CITE-seq data (protein and RNA combined),"A CITE-seq dataset containing protein and RNA data hstacked for our YS and liver combined CITE-seq data (n=11, k=61,744).",CITE-seq,,Liver,CITE-seq,None,Homo sapiens,61744,https://app.cellatlas.io/yolk-sac/dataset/22/scatterplot,,,,https://app.cellatlas.io/yolk-sac/dataset/22/download,,,,,,,,,
Liver CITE-seq data (protein),"A CITE-seq dataset containing protein data for our YS and liver combined CITE-seq data (n=11, k=61,744).",CITE-seq,,Liver,CITE-seq,None,Homo sapiens,61744,https://app.cellatlas.io/yolk-sac/dataset/13/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/13/download,,,,,,,,,,
Liver CITE-seq data (RNA),"A CITE-seq dataset containing RNA data for our YS and liver combined CITE-seq data (n=11, k=61,823).",CITE-seq,,Liver,CITE-seq,None,Homo sapiens,61823,https://app.cellatlas.io/yolk-sac/dataset/14/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/14/download,,https://storage.googleapis.com/haniffalab/yolk-sac/scvi_models/ys_liver_combined_vae_model.pt,,,,,,,,
Combined 12 fetal atlas integrated macrophages,"Integrated 12-organ fetal atlas (k= 3.12million, n = 150), coloured by organ. Organs include: YS (n=10,k=169494), AGM (n=4,k=12248), Skin (n=13, k =178563), Brain (n=72, k=2.16million), Gonads (n=44, k=14244), Thymus (n=11, k=104251), Gut (n= 5, k= 79435), Kidneys (n= 4, k=26372), Liver (n=14, k=210549), Spleen (n=10, k=127186), Bone marrow (n=8, k=93677) and MLN (n=2, k=6039). Displayed here are just the macrophage subsets.",scRNA-seq,,"Yolk Sac, Skin, Spleen, Liver, Thymus, Gut, Bone Marrow, Kidney, MLN, Brain, GO, AGM","10x 3',10x 5'",None,Homo sapiens,147900,https://app.cellatlas.io/yolk-sac/dataset/19/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/19/download,,,,,,,,,,
Combined adult 20 tissue myeloid lineage atlas,"Integrated 20-organ adult macrophage lineage atlas (n=65, k=94286). Organs include: bladder (n=3, k=2831), bone marrow (n=10, k=9408), brain (n=7, k=832), fat (n=2, k=1667), gut (n=13, k=1678), heart (n=7, k=486), kidney (n=9, k=358), liver (n=12, k=4823), lung (n=19, k=46805), lymph node (n=,15 k=2507), muscle (n=13, k=2553), pancreas (n=2, k=1030), omentum (n=4, k=103), prostate (n=2, k=356), skin (n=7, k=1088), spleen (n=15, k=13643), thymus (n=3, k=508), trachea (n=6, k=1376), uterus (n=6, k=632), vasculature (n=2, k=1602)",scRNA-seq,,"Muscle, Lung, Liver, Bladder, Spleen, Vasculature, Thymus, Uterus, Fat, Trachea, Pancreas, Heart, Lymph Node, Prostate, Gut, Kidney, Bone Marrow, Omentum, Brain, Skin","10x 3',10x 5'",None,Homo sapiens,94286,https://app.cellatlas.io/yolk-sac/dataset/12/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/12/download,,,,,,,,,,
Combined adult 20 tissue atlas integrated macrophages,"Integrated 20-organ adult macrophage lineage atlas (n=65, k=94286). Organs include: bladder (n=3, k=2831), bone marrow (n=10, k=9408), brain (n=7, k=832), fat (n=2, k=1667), gut (n=13, k=1678), heart (n=7, k=486), kidney (n=9, k=358), liver (n=12, k=4823), lung (n=19, k=46805), lymph node (n=,15 k=2507), muscle (n=13, k=2553), pancreas (n=2, k=1030), omentum (n=4, k=103), prostate (n=2, k=356), skin (n=7, k=1088), spleen (n=15, k=13643), thymus (n=3, k=508), trachea (n=6, k=1376), uterus (n=6, k=632), vasculature (n=2, k=1602). Displayed here are just the macrophage subsets.",scRNA-seq,,"Muscle, Lung, Liver, Bladder, Spleen, Vasculature, Thymus, Uterus, Fat, Trachea, Pancreas, Heart, Lymph Node, Prostate, Gut, Kidney, Bone Marrow, Omentum, Brain, Skin","10x 3',10x 5'",None,Homo sapiens,94286,https://app.cellatlas.io/yolk-sac/dataset/11/scatterplot,,,https://app.cellatlas.io/yolk-sac/dataset/11/download,,,,,,,,,,
Supplementary tables,"Supplementary tables containing supplementary data for our manuscript Multi-organ functions of yolk sac during human early development including annotations, statistical results, differentially expressed genes and logistic regression probabilities.",Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/A3_V2_Supplementary_tables_combined_submission.xlsx,,,,107 MB
"Video (CD34, HNF4A and LYVE1)","Light sheet microscopy of Yolk sac at 6.9 PCW including markers CD34, HNF4A and LYVE1",Video,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffa/data/yolk-sac/Movie%20S1.mp4,https://storage.googleapis.com/haniffa/data/yolk-sac/Movie%20S1.png,
"Video (CD34, ECAD and LYVE1)","Light sheet microscopy of Yolk sac at 6.9 PCW including markers CD34, ECAD and LYVE1",Video,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffa/data/yolk-sac/Movie%20S2.mp4,https://storage.googleapis.com/haniffa/data/yolk-sac/Movie%20S2.png,
"Video (PLVAP, IBA1 and LYVE1)","Light sheet microscopy of Yolk sac at 6.9 PCW including markers PLVAP, IBA1 and LYVE1",Video,,,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffa/data/yolk-sac/Movie%20S3.mp4,https://storage.googleapis.com/haniffa/data/yolk-sac/Movie%20S3.png,
EC_liver_model.sav,Celltypist compatible logistic regression model trained between combined low-dimensional LDVAE latent representations of our YS dataset integrated with our matched liver single cell scRNA-seq data and used for classification harmonisation between datasets,Downloads,,"Yolk Sac, Liver",,,,,,,,,,,,,,https://storage.googleapis.com/haniffa/data/yolk-sac/LR_models/EC_liver_model.sav,,,,2.2 KB
EC_FBM_model.sav,Celltypist compatible logistic regression model trained between combined low-dimensional LDVAE latent representations of our YS dataset integrated with the Jardine etal Fetal Bone marrow data (https://doi.org/10.1038/s41586-021-03929-x) and used for classification harmonisation between datasets,Downloads,,"Yolk Sac, Bone Marrow",,,,,,,,,,,,,,https://storage.googleapis.com/haniffa/data/yolk-sac/LR_models/EC_FBM_model.sav,,,,2.2 KB
EC_AGM_model.sav,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/EC_AGM_model.sav,,,,2.2 KB
Combined 12 fetal atlas metadata,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/fetal_combined_metadata.csv,,,,267.7 MB
Combined 12 fetal atlas coordinates,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/fetal_integrated_atlas_umap_coords_20221203.csv,,,,153.7 MB
YS_gene_expression_LR_model.sav,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/YS_X_A2_V12_lvl3_ELASTICNET_YS.sav,,,,1.4 MB
YS_scvi_vae_model_scArches,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/YS_data_raw_count.scVI_out.npy,,,,14.9 MB
12_organ_scvi_vae_model_scArches,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/scvi_VAE_12_organ_atlas_PFI_model.zip,,,,121.5 MB
Combined 12 fetal atlas data h5ad,,Downloads,,,,,,,,,,,,,,,,https://storage.googleapis.com/haniffalab/yolk-sac/no-portal/fetal_combined_atlas.h5ad,,,,15.7 GB
YS Hiplex RNAScope,,Imaging,,,,,,,,,,,,,,,,,https://vitessce-app.cog.sanger.ac.uk/dev/index.html?config=https://haniffa.cog.sanger.ac.uk/yolk-sac/rnascope/rnascope.json,,https://storage.googleapis.com/haniffalab/yolk-sac/rnascope_thumb.jpg,
YS Hiplex AB Immuno,,Imaging,,,,,,,,,,,,,,,,,https://vitessce-app.cog.sanger.ac.uk/dev/index.html?config=https://haniffa.cog.sanger.ac.uk/yolk-sac/rnascope/ab_immuno.json,,https://storage.googleapis.com/haniffalab/yolk-sac/ab_immuno_thumb.jpg,
